"Variabile","Maschi","Femmine","Totale","Informazioni"
"Popolazione censita al 1° gennaio","28846728","30124502","58971230","p"
"Nati vivi","190129","179793","369922","p"
"Morti","313207","337380","650587","p"
"Saldo naturale","-123078","-157587","-280665","p"
"Immigrati da altro comune","726537","686956","1413493","p"
"Emigrati per altro comune","726537","686956","1413493","p"
"Saldo migratorio interno","0","0","0","p"
"Immigrati dall'estero","250876","183703","434579","p"
"Emigrati per l'estero","97727","93240","190967","p"
"Saldo migratorio con l'estero","153149","90463","243612","p"
"Unità in più/meno dovute a variazioni territoriali","0","0","0","p"
"Popolazione al 31 dicembre","28876799","30057378","58934177","p"
"Iscritti per altri motivi (v)","29611","15380","44991","p"
"Cancellati per altri motivi (v)","100939","58467","159406","p"
