FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,1999,34.16,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2000,34.17,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2001,34.18,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2002,34.31,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2003,34.41,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2004,34.57,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2005,34.57,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2006,34.7,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2007,34.76,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2008,34.77,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2009,34.84,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2010,34.9,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2011,34.96,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2012,35.01,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2013,35.07,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2014,35.16,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2015,35.26,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2016,35.33,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2017,35.44,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2018,35.5,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2019,35.61,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2020,35.51,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2021,35.79,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2022,35.79,,
A,Annuale,IT,Italia,FAVACH,Età media dei padri alla nascita del figlio,2023,35.91,,
A,Annuale,ITCD,Nord,FAVACH,Età media dei padri alla nascita del figlio,2022,35.99,,
A,Annuale,ITCD,Nord,FAVACH,Età media dei padri alla nascita del figlio,2023,36.11,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,1999,34.47,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2000,34.56,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2001,34.53,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2002,34.65,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2003,34.73,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2004,34.81,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2005,34.86,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2006,34.93,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2007,34.91,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2008,34.89,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2009,34.97,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2010,34.97,,
