DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Andorra,2012,737,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Andorra,2016,634,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Andorra,2018,543,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Andorra,2019,539,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Andorra,2021,503,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Andorra,2022,502,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Andorra,2023,458,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Albania,2012,35473,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Albania,2013,35750,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Albania,2014,35760,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Albania,2015,32715,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Albania,2016,31733,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Albania,2017,30869,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Albania,2018,28934,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Albania,2019,28561,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Albania,2020,28075,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Albania,2021,27211,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Albania,2022,24688,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Albania,2023,23617,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Armenia,2013,41790,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Armenia,2014,43031,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Armenia,2015,41763,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Armenia,2016,40592,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Armenia,2017,37700,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Armenia,2018,36574,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Armenia,2019,36041,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Armenia,2020,36353,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Armenia,2022,36375,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Armenia,2023,36590,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Austria,2012,78952,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Austria,2013,79330,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Austria,2014,81722,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Austria,2015,84381,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Austria,2016,87675,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Austria,2017,87633,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Austria,2018,85535,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Austria,2019,84952,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Austria,2020,83603,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Austria,2021,86078,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Austria,2022,82627,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Austria,2023,77605,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Azerbaijan,2012,174469,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Azerbaijan,2013,172671,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Azerbaijan,2014,170503,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Azerbaijan,2015,166210,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Azerbaijan,2016,159464,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Azerbaijan,2017,144041,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Azerbaijan,2018,138982,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Azerbaijan,2019,141179,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Azerbaijan,2020,126571,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Azerbaijan,2021,112284,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Azerbaijan,2022,122846,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Azerbaijan,2023,112620,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bosnia and Herzegovina,2012,32547,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bosnia and Herzegovina,2013,30684,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bosnia and Herzegovina,2014,29247,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bosnia and Herzegovina,2016,29276,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bosnia and Herzegovina,2017,29158,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bosnia and Herzegovina,2018,29467,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bosnia and Herzegovina,2022,26687,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bosnia and Herzegovina,2023,24938,p,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2012,128051,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2013,125606,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2014,125014,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2015,122274,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2016,121896,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2017,119690,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2018,118319,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2019,117695,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2020,114350,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2021,118349,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2022,114095,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belgium,2023,110785,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2012,69121,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2013,66578,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2014,67585,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2015,65950,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2016,64984,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2017,63955,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2018,62197,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2019,61538,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2020,59086,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2021,58678,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2022,56596,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Bulgaria,2023,57197,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belarus,2012,115893,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belarus,2013,117997,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belarus,2014,118534,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belarus,2015,119028,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belarus,2016,117779,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belarus,2017,102556,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belarus,2018,94042,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Belarus,2019,87602,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2012,82164,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2013,82731,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2014,85287,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2015,86559,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2016,87883,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2017,87381,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2018,87851,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2019,86172,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2020,85914,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2021,89644,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2022,82371,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Switzerland,2023,80024,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Cyprus,2012,10161,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Cyprus,2013,9341,,
ESTAT:TPS00204(1.0),12/05/25 23:00:00,Annual,Live births - number,Cyprus,2014,9258,,
