FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,MARITAL_STATUS,Stato civile,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y0,0 anni,99,Totale,2025,191699,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y1,1 anni,99,Totale,2025,197202,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y2,2 anni,99,Totale,2025,206462,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y3,3 anni,99,Totale,2025,210680,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y4,4 anni,99,Totale,2025,215443,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y5,5 anni,99,Totale,2025,223123,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y6,6 anni,99,Totale,2025,233587,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y7,7 anni,99,Totale,2025,243289,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y8,8 anni,99,Totale,2025,249793,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y9,9 anni,99,Totale,2025,256599,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y10,10 anni,99,Totale,2025,264150,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y11,11 anni,99,Totale,2025,267876,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y12,12 anni,99,Totale,2025,279476,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y13,13 anni,99,Totale,2025,284279,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y14,14 anni,99,Totale,2025,293006,e,Dato stimato
